Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
Hong Kong Cricket Club L4,Electrify Squash Ladies,Hong Kong Cricket Club,8,29/11/2024,2-1,"['3-1', '3-0', '0-3']",2,1,6,4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Electrify Squash Ladies
Hong Kong Cricket Club L4,JESSICA Smashin' Mochi,Hong Kong Cricket Club,9,03/01/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
Hong Kong Football Club L4,Electrify Squash Ladies,Hong Kong Football Club,9,03/01/2025,3-0,"['3-1', '3-0', '3-0']",3,0,9,1,Hong Kong Football Club L4,Hong Kong Football Club L4,Hong Kong Football Club L4
i-Mask Advance Squash Club L4,JESSICA L4,Cornwall Street Squash Centre,9,03/01/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,JESSICA L4,Hong Kong Football Club,10,10/01/2025,0-3,"['0-3', '0-3', 'WO']",0,3,0,9,JESSICA L4,JESSICA L4,
i-Mask Advance Squash Club L4,Electrify Squash Ladies,Cornwall Street Squash Centre,10,10/01/2025,2-1,"['1-3', '3-1', 'CR']",2,1,7,4,Electrify Squash Ladies,i-Mask Advance Squash Club L4,
Hong Kong Football Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club,10,10/01/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
Hong Kong Football Club L4,JESSICA Smashin' Mochi,Hong Kong Football Club,11,17/01/2025,2-1,"['3-0', '1-3', '3-0']",2,1,7,3,Hong Kong Football Club L4,JESSICA Smashin' Mochi,Hong Kong Football Club L4
i-Mask Advance Squash Club L4,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,11,17/01/2025,0-3,"['0-3', '0-3', 'CR']",0,3,0,9,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,
Electrify Squash Ladies,Hong Kong Football Club JSA,HK Squash Centre,11,17/01/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Electrify Squash Ladies,JESSICA L4,HK Squash Centre,12,24/01/2025,0-3,"['1-3', '2-3', '0-3']",0,3,3,9,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,Hong Kong Cricket Club L4,Hong Kong Football Club,12,24/01/2025,1-2,"['3-0', '0-3', '0-3']",1,2,3,6,Hong Kong Football Club JSA,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
JESSICA Smashin' Mochi,i-Mask Advance Squash Club L4,HK Squash Centre,12,24/01/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi
i-Mask Advance Squash Club L4,Hong Kong Football Club L4,Cornwall Street Squash Centre,13,07/02/2025,2-1,"['3-1', '3-0', '0-3']",2,1,6,4,i-Mask Advance Squash Club L4,i-Mask Advance Squash Club L4,Hong Kong Football Club L4
Hong Kong Football Club JSA,JESSICA Smashin' Mochi,Hong Kong Football Club,13,07/02/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
JESSICA L4,Hong Kong Cricket Club L4,HK Squash Centre,13,07/02/2025,1-2,"['2-3', '0-3', '3-1']",1,2,5,7,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,JESSICA L4
JESSICA L4,JESSICA Smashin' Mochi,Java Road Sports Centre,14,14/02/2025,3-0,"['3-2', '3-0', '3-0']",3,0,9,2,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,Hong Kong Football Club L4,Hong Kong Football Club,14,14/02/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Hong Kong Cricket Club L4,Electrify Squash Ladies,Hong Kong Cricket Club,14,14/02/2025,2-1,"['3-0', '3-0', '0-3']",2,1,6,3,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Electrify Squash Ladies
Hong Kong Football Club JSA,i-Mask Advance Squash Club L4,Hong Kong Football Club,15,21/02/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Hong Kong Football Club L4,JESSICA L4,Hong Kong Football Club,15,21/02/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,JESSICA L4,JESSICA L4,JESSICA L4
JESSICA Smashin' Mochi,Electrify Squash Ladies,HK Squash Centre,15,21/02/2025,1-2,"['1-3', '2-3', '3-0']",1,2,6,6,Electrify Squash Ladies,Electrify Squash Ladies,JESSICA Smashin' Mochi
JESSICA Smashin' Mochi,Hong Kong Cricket Club L4,HK Squash Centre,16,28/02/2025,1-2,"['0-3', '0-3', '3-0']",1,2,3,6,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,JESSICA Smashin' Mochi
Electrify Squash Ladies,Hong Kong Football Club L4,HK Squash Centre,16,28/02/2025,0-3,"['0-3', '2-3', '0-3']",0,3,2,9,Hong Kong Football Club L4,Hong Kong Football Club L4,Hong Kong Football Club L4
JESSICA L4,i-Mask Advance Squash Club L4,HK Squash Centre,16,28/02/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,JESSICA L4,JESSICA L4,JESSICA L4
JESSICA L4,Hong Kong Football Club JSA,HK Squash Centre,17,07/03/2025,1-2,"['3-0', '0-3', '1-3']",1,2,4,6,JESSICA L4,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Electrify Squash Ladies,i-Mask Advance Squash Club L4,Cornwall Street Squash Centre,17,07/03/2025,2-1,"['3-0', '3-0', 'WO']",2,1,9,0,Electrify Squash Ladies,Electrify Squash Ladies,
Hong Kong Football Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club,17,07/03/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
JESSICA Smashin' Mochi,Hong Kong Football Club L4,HK Squash Centre,18,14/03/2025,2-1,"['0-3', '3-0', '3-2']",2,1,6,5,Hong Kong Football Club L4,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi
i-Mask Advance Squash Club L4,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,18,14/03/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
Hong Kong Football Club JSA,Electrify Squash Ladies,Hong Kong Football Club,18,14/03/2025,3-0,"['3-0', 'CR', 'CR']",3,0,9,0,Hong Kong Football Club JSA,,
