Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
Ladies Recreation Club M2B,Hong Kong Football Club M2A,Ladies Recreation Club,8,20/11/2024,1-3,"['1-3', '3-0', 'CR', 'CR']",1,3,4,9,Hong Kong Football Club M2A,Ladies Recreation Club M2B,,
Hong Kong Cricket Club M2A,Ladies Recreation Club M2A,Hong Kong Cricket Club,8,20/11/2024,2-2,"['3-0', '2-3', '2-3', '3-2']",2,2,10,8,Hong Kong Cricket Club M2A,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Hong Kong Cricket Club M2A
Hong Kong Football Club M2B,Hong Kong Cricket Club M2B,Hong Kong Football Club,8,20/11/2024,3-1,"['3-0', '3-0', '2-3', '3-1']",3,1,11,4,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Cricket Club M2B,Hong Kong Football Club M2B
Hong Kong Football Club M2B,Ladies Recreation Club M2B,Hong Kong Football Club,9,27/11/2024,4-0,"['3-1', '3-0', '3-0', '3-0']",4,0,12,1,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Football Club M2B
Ladies Recreation Club M2A,Hong Kong Cricket Club M2B,Ladies Recreation Club,9,27/11/2024,2-2,"['3-2', '1-3', '1-3', 'CR']",2,2,5,11,Ladies Recreation Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,
Hong Kong Cricket Club M2A,Hong Kong Football Club M2A,Hong Kong Cricket Club,9,27/11/2024,1-3,"['2-3', '3-2', '1-3', '1-3']",1,3,7,11,Hong Kong Football Club M2A,Hong Kong Cricket Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Ladies Recreation Club M2A,Ladies Recreation Club M2B,Ladies Recreation Club,10,18/12/2024,3-1,"['3-0', '3-1', '3-2', '1-3']",3,1,10,6,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Ladies Recreation Club M2B
Hong Kong Football Club M2A,Hong Kong Football Club M2B,HK Squash Centre,10,18/12/2024,1-3,"['3-2', '1-3', '0-3', '2-3']",1,3,6,11,Hong Kong Football Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Football Club M2B
Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club,10,18/12/2024,4-0,"['3-0', '3-2', '3-1', '3-1']",4,0,12,4,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A
Ladies Recreation Club M2B,Hong Kong Cricket Club M2B,Ladies Recreation Club,11,08/01/2025,0-4,"['1-3', '1-3', '0-3', 'CR']",0,4,2,12,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,
Hong Kong Football Club M2B,Hong Kong Cricket Club M2A,Hong Kong Football Club,11,08/01/2025,2-2,"['3-1', '1-3', '1-3', '3-0']",2,2,8,7,Hong Kong Football Club M2B,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A,Hong Kong Football Club M2B
Hong Kong Football Club M2A,Ladies Recreation Club M2A,Hong Kong Football Club,11,08/01/2025,3-1,"['0-3', '3-0', '3-0', '3-0']",3,1,9,3,Ladies Recreation Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Hong Kong Football Club M2A,Ladies Recreation Club M2B,Hong Kong Football Club,12,15/01/2025,4-0,"['3-0', '3-0', 'CR', 'CR']",4,0,12,0,Hong Kong Football Club M2A,Hong Kong Football Club M2A,,
Ladies Recreation Club M2A,Hong Kong Cricket Club M2A,Ladies Recreation Club,12,15/01/2025,3-1,"['3-0', '3-2', '2-3', '3-0']",3,1,11,5,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Hong Kong Cricket Club M2A,Ladies Recreation Club M2A
Hong Kong Cricket Club M2B,Hong Kong Football Club M2B,Hong Kong Cricket Club,12,15/01/2025,2-2,"['1-3', '3-1', '3-1', '0-3']",2,2,7,8,Hong Kong Football Club M2B,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,Hong Kong Football Club M2B
Ladies Recreation Club M2B,Hong Kong Football Club M2B,Ladies Recreation Club,13,22/01/2025,0-4,"['1-3', '1-3', 'CR', 'CR']",0,4,2,12,Hong Kong Football Club M2B,Hong Kong Football Club M2B,,
Hong Kong Cricket Club M2B,Ladies Recreation Club M2A,Hong Kong Cricket Club,13,22/01/2025,1-3,"['0-3', '2-3', '3-0', '2-3']",1,3,7,9,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Hong Kong Cricket Club M2B,Ladies Recreation Club M2A
Hong Kong Football Club M2A,Hong Kong Cricket Club M2A,Hong Kong Football Club,13,22/01/2025,4-0,"['3-0', '3-1', '3-1', '3-0']",4,0,12,2,Hong Kong Football Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Hong Kong Cricket Club M2A,Ladies Recreation Club M2B,Hong Kong Cricket Club,14,12/02/2025,3-1,"['1-3', '3-2', '3-2', 'WO']",3,1,10,7,Ladies Recreation Club M2B,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A,
Hong Kong Cricket Club M2B,Hong Kong Football Club M2A,Hong Kong Cricket Club,14,12/02/2025,1-3,"['0-3', '3-1', '2-3', '0-3']",1,3,5,10,Hong Kong Football Club M2A,Hong Kong Cricket Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club M2A
