Home Team,vs,Away Team,Venue,Time,Result,Avg Simulated Home Points,Avg Simulated Away Points
Ladies Recreation Club Div 12,v,i-Mask Advance Squash Club 3,Ladies Recreation Club,19:00,,2.09,3.91
MERCURY,v,Ladies Recreation Club Div 12,HK Squash Centre,19:00,,3.23,2.77
Squashathon Zero,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,4.53,1.47
Studio Pro,v,Hong Kong Cricket Club 6,Java Road Sports Centre,19:00,,2.22,3.78
i-Mask Advance Squash Club 3,v,Sha Tin Squash Rackets Club 3,Cornwall Street Squash Centre,19:00,,3.56,2.44
Sha Tin Squash Rackets Club 3,v,Hong Kong Cricket Club 6,Pei Ho Street Sports Centre,19:00,,2.93,3.07
Studio Pro,v,Kinetic 1,Java Road Sports Centre,19:00,,3.46,2.54
Squashathon Zero,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,,4.27,1.73
MERCURY,v,i-Mask Advance Squash Club 3,HK Squash Centre,19:00,,2.31,3.69
MERCURY,v,Squashathon Zero,HK Squash Centre,19:00,,2.38,3.62
Ladies Recreation Club Div 12,v,Studio Pro,Ladies Recreation Club,19:00,,2.92,3.08
Kinetic 1,v,Sha Tin Squash Rackets Club 3,Yuen Long Jockey Club Squash Courts,19:00,,2.14,3.86
i-Mask Advance Squash Club 3,v,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,19:00,,3.35,2.65
Hong Kong Cricket Club 6,v,Kinetic 1,Hong Kong Cricket Club,19:00,,4.43,1.57
Sha Tin Squash Rackets Club 3,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,,3.96,2.04
Studio Pro,v,MERCURY,Java Road Sports Centre,19:00,,3.22,2.78
Squashathon Zero,v,i-Mask Advance Squash Club 3,Pei Ho Street Sports Centre,19:00,,3.24,2.76
Squashathon Zero,v,Studio Pro,Cornwall Street Squash Centre,19:00,,4.14,1.86
MERCURY,v,Sha Tin Squash Rackets Club 3,HK Squash Centre,19:00,,2.53,3.47
Ladies Recreation Club Div 12,v,Hong Kong Cricket Club 6,Ladies Recreation Club,19:00,,2.25,3.75
i-Mask Advance Squash Club 3,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,4.53,1.47
Kinetic 1,v,Ladies Recreation Club Div 12,Yuen Long Jockey Club Squash Courts,19:00,,2.87,3.13
Hong Kong Cricket Club 6,v,MERCURY,Hong Kong Cricket Club,19:00,,4.02,1.98
Sha Tin Squash Rackets Club 3,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,,2.8,3.2
Studio Pro,v,i-Mask Advance Squash Club 3,Java Road Sports Centre,19:00,,2.17,3.83
Studio Pro,v,Sha Tin Squash Rackets Club 3,Java Road Sports Centre,19:00,,2.57,3.43
Squashathon Zero,v,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,19:00,,3.38,2.62
MERCURY,v,Kinetic 1,HK Squash Centre,19:00,,3.43,2.57
i-Mask Advance Squash Club 3,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,,4.26,1.74
Ladies Recreation Club Div 12,v,MERCURY,Ladies Recreation Club,19:00,,3.07,2.93
Kinetic 1,v,Squashathon Zero,Yuen Long Jockey Club Squash Courts,19:00,,1.76,4.24
Hong Kong Cricket Club 6,v,Studio Pro,Hong Kong Cricket Club,19:00,,4.1,1.9
Sha Tin Squash Rackets Club 3,v,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,19:00,,2.8,3.2
