Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
Hong Kong Football Club M1A,Hong Kong Football Club M1B,Hong Kong Football Club,10,02/01/2025,1-2,"['1-3', '1-3', '3-1']",1,2,5,7,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1A
Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club,10,02/01/2025,0-3,"['1-3', '1-3', '0-3']",0,3,2,9,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,11,09/01/2025,2-1,"['3-1', '3-0', '0-3']",2,1,6,4,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club M1A
Ladies Recreation Club M1,Hong Kong Football Club M1A,Ladies Recreation Club,11,09/01/2025,0-3,"['1-3', '0-3', '1-3']",0,3,2,9,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1A,Ladies Recreation Club M1,Hong Kong Cricket Club,12,16/01/2025,1-2,"['1-3', '3-0', '1-3']",1,2,5,6,Ladies Recreation Club M1,Hong Kong Cricket Club M1A,Ladies Recreation Club M1
Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club,12,16/01/2025,1-2,"['3-2', '0-3', '2-3']",1,2,5,8,Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Ladies Recreation Club M1,Hong Kong Cricket Club M1B,Ladies Recreation Club,13,23/01/2025,1-2,"['0-3', '0-3', '3-1']",1,2,3,7,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Ladies Recreation Club M1
Hong Kong Football Club M1A,Hong Kong Cricket Club M1A,Hong Kong Football Club,13,23/01/2025,2-1,"['1-3', '3-0', '3-0']",2,1,7,3,Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,14,13/02/2025,0-3,"['2-3', '0-3', '0-3']",0,3,2,9,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1B,Ladies Recreation Club M1,Hong Kong Football Club,14,13/02/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,15,20/02/2025,1-2,"['3-2', '2-3', '0-3']",1,2,5,8,Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,15,20/02/2025,1-2,"['2-3', '3-0', '0-3']",1,2,5,6,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A
Hong Kong Cricket Club M1A,Hong Kong Football Club M1B,Hong Kong Cricket Club,16,27/02/2025,1-2,"['1-3', '0-3', '3-2']",1,2,4,8,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club M1A
Hong Kong Football Club M1A,Ladies Recreation Club M1,Hong Kong Football Club,16,27/02/2025,3-0,"['3-2', '3-0', '3-0']",3,0,9,2,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Ladies Recreation Club M1,Hong Kong Cricket Club M1A,Ladies Recreation Club,17,06/03/2025,2-1,"['2-3', '3-2', '3-0']",2,1,8,5,Hong Kong Cricket Club M1A,Ladies Recreation Club M1,Ladies Recreation Club M1
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,17,06/03/2025,1-2,"['1-3', '2-3', '3-1']",1,2,6,7,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club M1B
Hong Kong Cricket Club M1B,Ladies Recreation Club M1,Hong Kong Cricket Club,18,13/03/2025,3-0,"['3-2', '3-0', '3-2']",3,0,9,4,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,18,13/03/2025,1-2,"['3-2', '1-3', '2-3']",1,2,6,8,Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,Hong Kong Football Club,19,20/03/2025,2-1,"['1-3', '3-0', '3-1']",2,1,7,4,Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Ladies Recreation Club M1,Hong Kong Football Club M1B,Ladies Recreation Club,19,20/03/2025,0-3,"['0-3', '1-3', '1-3']",0,3,2,9,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Ladies Recreation Club M1,Hong Kong Football Club M1B,Ladies Recreation Club,20,27/03/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
