Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Electrify Squash Div 15,Squashathon MeGa,Cornwall Street Squash Centre,6,30/11/2024,5-0,"['3-0', '3-1', '3-0', '3-2', 'CR']",5,0,15,3,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,
Fusion Squash Club 3,Serve - Ivors,Cornwall Street Squash Centre,6,30/11/2024,3-2,"['0-3', '1-3', '3-0', 'CR', 'CR']",3,2,10,6,Serve - Ivors,Serve - Ivors,Fusion Squash Club 3,,
TNG 3,Squash-On,Cornwall Street Squash Centre,6,30/11/2024,3-2,"['0-3', '3-0', '3-1', '1-3', '3-0']",3,2,10,7,Squash-On,TNG 3,TNG 3,Squash-On,TNG 3
RELAY 2,i-Mask Advance Squash Club 6,Sir Denys Roberts Squash Court,6,30/11/2024,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,,,,,
Electrify Squash Div 15,Fusion Squash Club 3,HK Squash Centre,7,04/01/2025,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15
Squashathon MeGa,TNG 3,HK Squash Centre,7,04/01/2025,4-1,"['3-0', '3-2', '0-3', '3-2', '3-2']",4,1,12,9,Squashathon MeGa,Squashathon MeGa,TNG 3,Squashathon MeGa,Squashathon MeGa
Serve - Ivors,RELAY 2,HK Squash Centre,7,04/01/2025,2-3,"['3-0', '1-3', '3-0', '0-3', '0-3']",2,3,7,9,Serve - Ivors,RELAY 2,Serve - Ivors,RELAY 2,RELAY 2
Squash-On,i-Mask Advance Squash Club 6,HK Squash Centre,7,04/01/2025,5-0,"['3-0', '3-0', '3-0', 'CR', 'CR']",5,0,15,0,Squash-On,Squash-On,Squash-On,,
Squash-On,Electrify Squash Div 15,HK Squash Centre,8,11/01/2025,1-4,"['1-3', '0-3', '1-3', '3-0', '2-3']",1,4,7,12,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Squash-On,Electrify Squash Div 15
i-Mask Advance Squash Club 6,Serve - Ivors,Cornwall Street Squash Centre,8,11/01/2025,3-2,"['2-3', '2-3', '3-0', 'CR', 'CR']",3,2,13,6,Serve - Ivors,Serve - Ivors,i-Mask Advance Squash Club 6,,
