Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
Hong Kong Cricket Club 2,Kowloon Cricket Club 2,Hong Kong Cricket Club,8,25/11/2024,0-4,"['1-3', '2-3', '0-3', '2-3']",0,4,5,12,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Hong Kong Football Club 2B,Young Player 2,Hong Kong Football Club,8,25/11/2024,3-1,"['1-3', '3-0', '3-1', '3-0']",3,1,10,4,Young Player 2,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Hong Kong Football Club 2A,Young Player 2,HK Squash Centre,9,16/12/2024,3-1,"['3-0', '1-3', '3-0', '3-1']",3,1,10,4,Hong Kong Football Club 2A,Young Player 2,Hong Kong Football Club 2A,Hong Kong Football Club 2A
Hong Kong Cricket Club 2,Hong Kong Football Club 2B,Hong Kong Cricket Club,9,16/12/2024,2-2,"['3-0', '3-1', '1-3', '0-3']",2,2,7,7,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Kowloon Cricket Club 2,Young Player 2,Kowloon Cricket Club,10,06/01/2025,3-1,"['3-0', '3-2', '0-3', '3-0']",3,1,9,5,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Young Player 2,Kowloon Cricket Club 2
Hong Kong Football Club 2A,Hong Kong Football Club 2B,Hong Kong Football Club,10,06/01/2025,2-2,"['3-0', '3-0', '2-3', '0-3']",2,2,8,6,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Hong Kong Football Club 2B,Kowloon Cricket Club 2,Hong Kong Football Club,11,13/01/2025,0-4,"['0-3', '1-3', '0-3', '1-3']",0,4,2,12,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Hong Kong Cricket Club 2,Hong Kong Football Club 2A,Hong Kong Cricket Club,11,13/01/2025,0-4,"['2-3', '0-3', '0-3', '2-3']",0,4,4,12,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A
Kowloon Cricket Club 2,Hong Kong Cricket Club 2,Kowloon Cricket Club,12,20/01/2025,4-0,"['3-0', '3-0', '3-2', '3-0']",4,0,12,2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Young Player 2,Hong Kong Football Club 2B,HK Squash Centre,12,20/01/2025,0-4,"['0-3', '0-3', '1-3', '1-3']",0,4,2,12,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Hong Kong Cricket Club 2,Young Player 2,Hong Kong Cricket Club,13,10/02/2025,3-1,"['3-0', '3-2', '0-3', '3-1']",3,1,9,6,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2,Young Player 2,Hong Kong Cricket Club 2
Hong Kong Football Club 2A,Kowloon Cricket Club 2,Hong Kong Football Club,13,10/02/2025,3-1,"['1-3', '3-0', '3-1', '3-0']",3,1,10,4,Kowloon Cricket Club 2,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A
Young Player 2,Hong Kong Football Club 2A,HK Squash Centre,14,17/02/2025,1-3,"['1-3', '0-3', '1-3', '3-0']",1,3,5,9,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Young Player 2
Hong Kong Football Club 2B,Hong Kong Cricket Club 2,Hong Kong Football Club,14,17/02/2025,2-2,"['0-3', '0-3', '3-2', '3-0']",2,2,6,8,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Young Player 2,Kowloon Cricket Club 2,HK Squash Centre,15,24/02/2025,2-2,"['1-3', '0-3', '3-2', '3-0']",2,2,7,8,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Young Player 2,Young Player 2
Hong Kong Football Club 2B,Hong Kong Football Club 2A,Hong Kong Football Club,15,24/02/2025,1-3,"['1-3', '0-3', '2-3', '3-2']",1,3,6,11,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2B
Hong Kong Football Club 2A,Hong Kong Cricket Club 2,Hong Kong Football Club,16,03/03/2025,4-0,"['3-0', '3-0', '3-1', '3-0']",4,0,12,1,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A
